noise_type,magnitude,flip_rate,confidence_drop,num_samples,group_0_flip,group_1_flip
gaussian,0.05,0.012000000104308128,0.0015487544005736709,500,0.0022321429569274187,0.09615384787321091
gaussian,0.1,0.01600000075995922,0.01728072203695774,500,0.0066964286379516125,0.09615384787321091
gaussian,0.2,0.07199999690055847,0.11788791418075562,500,0.0491071417927742,0.26923078298568726
gaussian,0.3,0.2199999988079071,0.27185767889022827,500,0.1941964328289032,0.4423076808452606
gaussian,0.4,0.4399999976158142,0.3727799355983734,500,0.4151785671710968,0.6538461446762085
gaussian,0.5,0.593999981880188,0.4339430630207062,500,0.5870535969734192,0.6538461446762085
gaussian,0.6,0.6380000114440918,0.438547819852829,500,0.6361607313156128,0.6538461446762085
gaussian,0.7,0.7160000205039978,0.41204583644866943,500,0.7165178656578064,0.7115384340286255
gaussian,0.8,0.7459999918937683,0.3885154128074646,500,0.7410714030265808,0.7884615659713745
gaussian,0.9,0.7879999876022339,0.358062207698822,500,0.7924107313156128,0.75
gaussian,1.0,0.8080000281333923,0.35026153922080994,500,0.8125,0.7692307829856873
spatial_masking,0.05,0.0,2.510392732801847e-05,500,0.0,0.0
spatial_masking,0.1,0.0,0.00037912081461399794,500,0.0,0.0
spatial_masking,0.2,0.0020000000949949026,0.010895797982811928,500,0.0022321429569274187,0.0
spatial_masking,0.3,0.024000000208616257,0.03423033282160759,500,0.01785714365541935,0.07692307978868484
spatial_masking,0.4,0.06199999898672104,0.08807691931724548,500,0.0491071417927742,0.17307692766189575
spatial_masking,0.5,0.23000000417232513,0.19212974607944489,500,0.2120535671710968,0.38461539149284363
spatial_masking,0.6,0.4300000071525574,0.27906957268714905,500,0.4151785671710968,0.557692289352417
spatial_masking,0.7,0.7039999961853027,0.3529154658317566,500,0.6964285969734192,0.7692307829856873
spatial_masking,0.8,0.8659999966621399,0.3939855992794037,500,0.8638392686843872,0.8846153616905212
spatial_masking,0.9,0.9039999842643738,0.42847925424575806,500,0.9017857313156128,0.9230769276618958
spatial_masking,1.0,0.9039999842643738,0.4383500814437866,500,0.9017857313156128,0.9230769276618958
frequency_filter,0.05,0.0,-0.00018093979451805353,500,0.0,0.0
frequency_filter,0.1,0.0,-0.00019050455011893064,500,0.0,0.0
frequency_filter,0.2,0.0,-0.00028864038176834583,500,0.0,0.0
frequency_filter,0.3,0.0,0.0003009892825502902,500,0.0,0.0
frequency_filter,0.4,0.006000000052154064,0.002431292785331607,500,0.0022321429569274187,0.03846153989434242
frequency_filter,0.5,0.00800000037997961,0.01033779513090849,500,0.004464285913854837,0.03846153989434242
frequency_filter,0.6,0.041999999433755875,0.026747889816761017,500,0.02678571455180645,0.17307692766189575
frequency_filter,0.7,0.12600000202655792,0.05631951615214348,500,0.109375,0.26923078298568726
frequency_filter,0.8,0.2939999997615814,0.08564146608114243,500,0.2857142984867096,0.36538460850715637
frequency_filter,0.9,0.6919999718666077,0.2046334147453308,500,0.6964285969734192,0.6538461446762085
frequency_filter,1.0,0.8059999942779541,0.12211475521326065,500,0.8102678656578064,0.7692307829856873
gaussian_blur,0.05,0.0,1.4071107216295786e-05,500,0.0,0.0
gaussian_blur,0.1,0.017999999225139618,0.017929501831531525,500,0.0066964286379516125,0.11538461595773697
gaussian_blur,0.2,0.20999999344348907,0.08205024898052216,500,0.1986607164144516,0.3076923191547394
gaussian_blur,0.3,0.30000001192092896,0.09146001935005188,500,0.2901785671710968,0.38461539149284363
gaussian_blur,0.4,0.38600000739097595,0.13912375271320343,500,0.3660714328289032,0.557692289352417
gaussian_blur,0.5,0.5019999742507935,0.18028081953525543,500,0.4888392984867096,0.6153846383094788
gaussian_blur,0.6,0.5899999737739563,0.2004930078983307,500,0.5803571343421936,0.6730769276618958
gaussian_blur,0.7,0.6539999842643738,0.20716457068920135,500,0.6495535969734192,0.692307710647583
gaussian_blur,0.8,0.7139999866485596,0.19275757670402527,500,0.7098214030265808,0.75
gaussian_blur,0.9,0.7459999918937683,0.17508743703365326,500,0.7433035969734192,0.7692307829856873
gaussian_blur,1.0,0.7620000243186951,0.1579875648021698,500,0.7611607313156128,0.7692307829856873
color_jitter,0.05,0.004000000189989805,0.0023197359405457973,500,0.0022321429569274187,0.01923076994717121
color_jitter,0.1,0.009999999776482582,0.013509790413081646,500,0.0022321429569274187,0.07692307978868484
color_jitter,0.2,0.057999998331069946,0.040435727685689926,500,0.0401785708963871,0.21153846383094788
color_jitter,0.3,0.15399999916553497,0.0680200383067131,500,0.1227678582072258,0.42307692766189575
color_jitter,0.4,0.23800000548362732,0.1287984997034073,500,0.2276785671710968,0.32692307233810425
color_jitter,0.5,0.34200000762939453,0.13563139736652374,500,0.3169642984867096,0.557692289352417
color_jitter,0.6,0.41999998688697815,0.18154998123645782,500,0.4084821343421936,0.5192307829856873
color_jitter,0.7,0.5320000052452087,0.18678170442581177,500,0.5223214030265808,0.6153846383094788
color_jitter,0.8,0.5139999985694885,0.19646476209163666,500,0.484375,0.7692307829856873
color_jitter,0.9,0.6179999709129333,0.23057687282562256,500,0.6116071343421936,0.6730769276618958
color_jitter,1.0,0.6660000085830688,0.23228925466537476,500,0.6473214030265808,0.8269230723381042
patch_shuffle,0.05,0.0,0.0,500,0.0,0.0
patch_shuffle,0.1,0.164000004529953,0.16894933581352234,500,0.1629464328289032,0.17307692766189575
patch_shuffle,0.2,0.1979999989271164,0.19539138674736023,500,0.1785714328289032,0.36538460850715637
patch_shuffle,0.3,0.27000001072883606,0.2235601395368576,500,0.2678571343421936,0.2884615361690521
patch_shuffle,0.4,0.2939999997615814,0.23852704465389252,500,0.2879464328289032,0.3461538553237915
patch_shuffle,0.5,0.28999999165534973,0.23167483508586884,500,0.2879464328289032,0.3076923191547394
patch_shuffle,0.6,0.26600000262260437,0.23427017033100128,500,0.2589285671710968,0.32692307233810425
patch_shuffle,0.7,0.3240000009536743,0.26208606362342834,500,0.3191964328289032,0.36538460850715637
patch_shuffle,0.8,0.33799999952316284,0.26680800318717957,500,0.3325892984867096,0.38461539149284363
patch_shuffle,0.9,0.32199999690055847,0.27188917994499207,500,0.3191964328289032,0.3461538553237915
patch_shuffle,1.0,0.3700000047683716,0.26961109042167664,500,0.3638392984867096,0.42307692766189575
